id,name,primary_image,category_id,subcategory_id,product_id,availability,price (цена),weight (вес),weight_class,year,created_at,updated_at,seo,secondary_images,tags,description,name_ru,description_ru
160,Руфус F1,p110160.jpg,110,,p110160,20,10,20,шт,2026,2/18/2026,5/5/2026,rufus-f1,,"early_maturing,cylindrical,powdery_mildew,open_field,high_yield","Ранньостиглий високоврожайний гібрид відкритого грунту. Плоди – корнішони циліндричної форми, темні
зелений, середньопузирчастий, генетично вільний від гіркоти. Смакові якості високі. Стійкий до фальшивої борошнистої роси, вірусу огіркової мозаїки, парші гарбузової",Руфус F1,"Раннеспелый высокоурожайный гибрид открытого грунта. Плод – корнишон, цилиндрической формы, темно-
зеленого цвета, средне-пупырчатый, генетически избавлен от горечи. Вкусовые качества высокие. Устойчив к ложной мучнистой росе, вирусу мозаики огурца, парше тыквенных"
161,СамородокF1,p110161.jpg,110,,p110161,20,20,50,шт,2026,2/19/2026,5/6/2026,samorodokf1,,"canning,pickling,black,cylindrical","Швидкостиглий гібрид, від розсади до першого врожаю займає 38-42 дні. Зелений - циліндричний,
грубобугорчастий, чорношипий, довжиною 8-9 см, масою 70-80 г. Має високий смак і засолювальні та консервуючи 
якості",СамородокF1,"Скороспелый гибрид, от всходов до первого сбора проходит 38-42 дня. Зеленец цилиндрический,
крупнобугорчатый, черношипый, длиной 8-9 см, массой 70-80 г. Имеет высокие вкусовые и засолочные
качества"
162,Син полкаF1,p110162.jpg,110,,p110162,20,8,1,гр,2026,2/20/2026,5/7/2026,syn-polkaf1,,"open_field,greenhouse","Передчасний гібрид, період від проростання до початку плодоношення 37-39 днів. Жіночий тип цвітіння. Призначений для вирощування у відкритому грунті та плівкових теплицях. Корнішони смачні темно-зелені, довжиною 8-11 см, без гіркоти.",Сын полкаF1,"Скороспелый гибрид, период от всходо в до начала плодоношения 37-39 дней. Женский тип цветения. Предназначен для выращивания в открытом грунте и пленочных теплицах. Плоды-корнишоны, темно-зеленого цвета, длиной 8-11 см, без горечи."
163,Сквирський F1,p110163.jpg,110,,p110163,40,10,3,гр,2026,2/21/2026,5/8/2026,skvyrskyi-f1,,"mid_maturing,pickling,fresh,oval,cylindrical","Сорт середньостиглий, призначений для споживання в свіжому вигляді та засолювання. Від появи розсади до першого врожаю плодів проходить 48-52 дні. Плоди циліндричні або овально-циліндричні, довжиною 9-11 см і шириною 3-4 см.",Сквирский F1,"Сорт среднеспелый. Предназначен для потребления в свежем виде и засолки. От появления всходов до первого сбора плодов проходит 48-52 дня. Плоди цилиндрические или овально-цилиндрические, 9-11см в длину и 3-4см в ширину."
164,Семко F1,p110164.jpg,110,,p110164,50,20,1,гр,2026,2/22/2026,5/9/2026,semko-f1,,"early,mid_early,cylindrical","Середньоранній гібрид Період від розсади до плодоношення 50-55 днів. Плоди зеленого кольору з розмитими світлими смугами, горбкуваті, циліндричної форми, довжиною 9-11 см, масою 80-110 г. Гібрид, стійкий до складних захворювань",Семко F1,"Среднеранний гибрид. Период от всходов до плодоношения 50-55 дней. Плоды зелёного цвета с размытыми светлыми полосами, бугорчатые, цилиндрической формы, длиной 9-11см, весом 80-110г. Гибрид  устойчив к комплексу заболеваний"
165,Самозапилюватися F1,p110165.jpg,110,,p110165,,18,1,гр,2026,2/23/2026,5/10/2026,samozapyliuvatysia-f1,,"early,cylindrical,firm,crunchy","Надранній гібрид (утворює плоди без запилення). Вегетаційний період від розсади до початку плодоношення - 45-47 днів. Плоди циліндричні, середньо-бугристі, довжиною 6-9 см, плід темно
зеленого кольору з невеликими смужками, щільний і хрусткий.",Самоопыляемый F1,"Скороспелый гибрид (образует плоды без опыления). Вегетационный период от всходов до начала плодоношения 45-47 дней. Плоды цилиндрические, средне-бугорчатые, длиной 6-9см, темно-
зелёной окраски с небольшими полосами, плотные и хрустящие."
166,Сремский F1,p110166.jpg,110,,p110166,20,20,10,гр,2026,2/24/2026,5/11/2026,sremskyi-f1,,"early,canning,yellow,cylindrical,disease_resistant,drought_tolerant,high_yield","Надшвидкий, високопродуктивний, стійкий до хвороб гібрид. Плоди циліндричні, бородавчасті, довжиною 8-10 см, без схильності до пожовтіння. Мають чудовий смак, засухостійкі вирощуються для виробництва різних продуктів, навіть в кометології та для соління і консервуваня.
",Сремский F1,"Сверхранний, высокоурожайный, болезнеустойчивый гибридзасухоустойчивие. Плоды цилиндрические, бородавчастые, длиной 8-10 см, без тенденции к желтению. Имеют чудесный вкус. Выращивают для получения сверхранней продукции, соления и консервирования."
167,Сусідові на заздрість F1,p110167.jpg,110,,p110167,35,20,7,гр,2026,2/25/2026,5/12/2026,susidovi-na-zazdrist-f1,,"early,pickling,elongated,crunchy","Дуже ранній, переважно жіночий тип. Зеленець витягнутої форми, з грубою бугристістю
поверхності, без гіркоти, соління ніжне, хрустке. Період від повноцінної розсади до початку плодоношення - 43-50 днів. Довжина плода 8-12 см. Маса плода 102-135 г.",Соседу на зависть F1,"Очень ранний, преимущественно женского типа. Зеленец удлиненной формы, с крупнобугорчатой
поверхностью, без горечи. В засолке нежные, хрустящие. Период от полных всходов до начала плодоношения 43-50 дней. Длина плода 8-12 см. Масса плода 102-135 г."
168,Тітус F1,p110168.jpg,110,,p110168,40,10,25,шт,2026,2/26/2026,5/13/2026,titus-f1,,"early,canning,cylindrical,open_field,high_yield","Гібрид ранній, високоврожайний, використовується для прямої підтримки ринку та консервування. Вирощують у відкритому грунті. Плоди циліндричні, сильнобугристі.",Титус F1,"Гибрид ранний, высокоурожайный. Используют для непосредственного обеспечения рынка и консервирования. Выращивают в открытом грунте. Плод цилиндрический  сильнобугорчатый."
169,Фенікс 640,p110169.jpg,110,,p110169,50,20,10,гр,2026,2/27/2026,5/14/2026,feniks-640,,"late,universal,yellow,open_field,bee_pollinated","Пізньостиглий бджолозапильний різновид відкритого ґрунту універсального призначення. Входить у плодоношення на 55-65-й день від розсади. Плод бугристий, білошипиц довжиною 12-16 см, масою 120-180 г, не жовтіє.",Феникс 640,"Позднеспелый пчело- опыляемый сорт открытого грунта универсального назначения. В плодоношение вступает на 55-65-й день от всходов. Плод бугорчатый, белошипый, длиной 12-16см, массой 120-180г, не желтеет."
170,Фенікс 640,p110170.jpg,110,,p110170,20,10,1,гр,2026,2/28/2026,5/15/2026,feniks-640,,"late,universal,yellow,open_field,bee_pollinated","Пізньостиглий бджолозапильний різновид відкритого грунту універсального призначення Входить у плодоношення
на 55-65-й день від розсади. Плоди крупнобугристі, білоколючі, довжиною 12-16 см, масою 120-180 г, не жовтіють.",Феникс 640,"Позднеспелый пчёлоопыляемый сорт открытого грунта универсального назначения. В плодоношение вступает
на 55-65-й день от всходов. Плод крупнобугорчатый, белошипый, длиной 12-16см, массой 120-180г, не желтеет."
171,Фенікс плюс,p110171.jpg,110,,p110171,40,10,1,гр,2026,3/1/2026,5/16/2026,feniks-plius,,"universal,yellow,open_field,bee_pollinated","Покращений сорт, пізностиглий, бджолозапильний сорт відкритого грунту універсального призначення. Плодючість настає на 55-65 добу від розсади .Плід крупнобугристий, білошипий, довжиною 12-16 см, масою 120-180 г, не жовтіє.",Феникс плюс,"Улучшенный сорт, поз-неспелый, пчёло-опыляемый сорт открытого грунта универсального назначения. Вплодоношение вступает на 55-65-й день от всходов Плод крупнобугорчаты, белошипый, длиной 12-16см, массой 120-180г, не желтеет."
172,Фенікс плюс,p110172.jpg,110,,p110172,20,25,10,гр,2026,3/2/2026,5/17/2026,feniks-plius,,"late,universal,yellow,open_field,bee_pollinated","Пізньостиглий бджолозапильний різновид відкритого ґрунту універсального призначення. Плодючість настає на 55-65-й день від розсади. Крупнобугристі, білоколючі, довжиною 12-16 см, масою 120-180 г, не жовтіють.",Феникс плюс,"Позднеспелый пчёлоопыляемый сорт открытого грунта универсального назначения. Вплодоношение вступает на 55-65-й день от всходов. Крупнобугорчатый, белошипый, длиной 12-16см, массой 120-180г, не желтеет."
173,Хрусткий,p110173.jpg,110,,p110173,50,10,3,гр,2026,3/3/2026,5/18/2026,khrustkyi,,"mid_maturing,crunchy,open_field,greenhouse,bee_pollinated","Бджолозапильний сорт для відкритого грунту та плівкових укриттів. Середньостиглий, плодоносить на 46-50 добу від появи масової розсади. Веретеноподібна зелень 10-13 см.",Хрустящий,"Пчелооопыляемый сорт для открытого грунта и пленочных укрытий. Среднеспелый, вступает в плодоношение на 46-50 день от появления массовых всходов. Зеленцы веретеновидной формы 10-13см."
174,Цезар,p110174.jpg,110,,p110174,40,10,3,гр,2026,3/4/2026,5/19/2026,tsezar,,"early,pickling,disease_resistant,open_field,bee_pollinated,high_yield,uniform_ripening","Супердружній, бджолозапильний гібрид. Високоврожайний, придатний для засолювання. Рекомендовано
для вирощування у відкритому грунті. Він стійкий до хвороб, не  потребує додаткової хімічної обробки. Зеленець довжиною 8-12 см",Цезарь,"Сверхранний, пчелоопыляемый гибрид. Высокоурожайный, пригоден для засолки. Рекомендуется
для выращивания в открытом грунте. Болезнестойкий, не  требует дополнительной химической обработки. Зеленец длинной 8-12 см"
175,Фаворит,p110175.jpg,110,,p110175,20,22,1,гр,2026,3/5/2026,5/20/2026,favoryt,,"early,mid_early,cylindrical,bee_pollinated","Сорт середньоранній з жіночим типом цвітіння, бджолозапильний, від розсади до першого врожаю 50-52 днів. Зелений з поздовжніми білими смугами, циліндричний, середньо-бугристий, довжина 9-11 см,",Фаворит,"Сорт среднеранний с женским типом цветения, пчелоопыляемый, от всходов до первого сбора 50-52 дня. Зеленец зеленый с продольными белыми полосками, цилиндрический, средне-бугорчатый, длина 9-11см,"
176,ФермерF1,p110176.jpg,110,,p110176,50,8,2,гр,2026,3/6/2026,5/21/2026,fermerf1,,"open_field,greenhouse,bee_pollinated","Бджолозапильний, переважно жіночий тип цвітіння. Урожайність у відкритому ґрунті - до 10-12 кг/кв. м, у захищеному ґрунті - до 20-24 кг/кв. м. Вирощується у відкритому ґрунті, плівкових тунелях та теплиці",ФермерF1,"Пчелоопыляемый, преимущественно женского типа цветения. Урожайность в открытом грунте - до 10-12кг/кв. м, в защищенном грунте - до 20-24 кг/кв. м. Выращивают в открытогрунте, пленочных тоннелях и теплица"
177,Лускунчик F1,p110177.jpg,110,,p110177,50,10,2,гр,2026,3/7/2026,5/22/2026,luskunchyk-f1,,"early,mid_early,open_field,greenhouse,parthenocarpic","Новий гібрид з частковою партенокарпією для плівкових теплиць та відкритого грунту. Середньоранній(45-50 днів від розсади до початку плодоношення). Рослина середнього росту, з помірним розгалуженням, переважно жіночого типу цвітіння Плоди дуже красиві",Щелкунчик F1,"Новый гибрид с частичной партенокарпией для пленочных теплиц и открытого грунта. Среднеранний(45-50 дней от всходов до начала плодоношения). Растение среднерослое, с умереннымветвлением, преимущественно женского типа цветения. Плоды очень красивые"
178,Меренга F1,p110178.jpg,110,,p110178,20,25,1,гр,2026,3/8/2026,5/23/2026,merenha-f1,,"early,cylindrical,parthenocarpic","Новий суперранній  партенокарпічний гібрид. Характеризується дуже високим і раннім  загальним врожаєм. Рослина середньої відкритості, плід  відмінний зовнішній вигляд, без гіркоти, відмінний смак, правильної циліндричної форми, колір темно-зелений.",Меренга F1,"Новый суперранний  партенокарпический гибрид. Характеризуется очень высоким и ранним  общим урожаем. Растение средне открытое. Плод  превосходного внешнего вида, без горечи, отличного вкуса, чрезвычайнднородные, правильной цилиндрической формы. Окраска темно-зеленая."
179,Еколь F1,p110179.jpg,110,,p110179,20,15,1,гр,2026,3/9/2026,5/24/2026,ekol-f1,,"early_maturing,open_field,greenhouse,parthenocarpic","Партенокарпічний гібрид раннього дозрівання типу корнішонів. Період від розсади до початку плодоношення - 42-45 днів. Середня врожайність 100-120 т/га. Рекомендується для вирощування у відкритому ґрунті та
плівкові теплиці.",Еколь F1,"Партенокарпический раннеспелый гибрид корнишонного типа. Период от всходов до начала плодоношения -42-45 дней. Средняя урожайность 100-120 т/га. Рекомендуется для выращивания в открытом грунте и
пленочных теплицах."
180,Пучіні,p110180.jpg,110,,p110180,50,8,2,гр,2026,3/10/2026,5/25/2026,puchini,,"mid_maturing,pickling,parthenocarpic","Новинка від голландських виробників. Середньостиглий партенокарпічний, кущовий гібрид. Має дуже високий урожай корнішонів без генетичної гіркоти. Рослина середньогративного типу. Має високі солоносні якості.",Пучини,"Новинка от голландских производителей. Среднеспелый партенокарпик, кустовой гибрид. Имеет очень высокий выход корнишона без генетической горечи. Растение среднегеративноготипа. Имеет высокие засолочные  качества."
181,СоловейF1,p110181.jpg,110,,p110181,20,15,1,гр,2026,3/11/2026,5/26/2026,soloveif1,,"early_maturing,pickling,powdery_mildew,open_field",Ранньостиглий гібрид відкритого грунту. Кращі серед кращих за солоними якостями. Його цінують за чудовий смак ніжних плодів красивого яскраво-зеленого кольору. Висока стійкість до несправжньої борошнистої роси.,СоловейF1,Раннеспелый гибрид открытого грунта. Лучший среди лучших по засолочным качествам. Ценится за отличный вкус изящных плодов красивой ярко-зеленой окраски. Высокоустойчив к ложной мучнистой росе.
182,Надія F1,p110182.jpg,110,,p110182,50,10,3,гр,2026,3/12/2026,5/27/2026,nadiia-f1,,"early,cylindrical,bee_pollinated","ультраранній бджолозапильний-гібрид переважно жіночим типом цвітіння. Продуктивність
Дуже висока. Плоди є однорідними, циліндричними, зеленими, без гіркоти. Смак високий. Співвідношення довжини до ширини 3: 2.",Надежда F1,"Новый ультраранний пчелоопыляемый гибрид с преимущественно женским типом цветения. Урожайность
очень высокая. Плоды однородные, цилиндрической формы, зеленого цвета, без горечи. Вкусовые качества высокие. Соотношение длины к ширине 3:2."
183,ПаркерF1,p110183.jpg,110,,p110183,20,15,1,гр,2026,3/13/2026,5/28/2026,parkerf1,,"early_maturing,canning,pickling,red,open_field,greenhouse","Відомий гібрид голландського вибору жіночого типу цвітіння є лідером продуктивності., розроблені для плівкових тунелів та для відкритих ґрунтів. Плід -це середній, завдовжки 10 см, вагою 100 г, ідеально транспортується.для соління і консервування",ПаркерF1,"Известный гибрид голландской селекции  женского типа цветения – лидер по урожайности. Раннеспелый, предназначен для открытого грунта и пленочных тоннелей. Плод среднебугорчатый, длиной 10см, массой 100 г, прекрасно транспортируется. Засолочный, консервный"
184,Агресор F1,p110184.jpg,120,121,p120184,10,18,1,гр,2026,3/14/2026,5/29/2026,ahresor-f1,,"late,fresh,round","Суперпопулярний у світі гібрид пізнього дозрівання, з круглою плоскою головою, з маленькою кочерижкою і гарною внутрішньою структурою.  Вага голівки 3-4 кг. Дозрівання через 115-120 днів після висадки розсади. Рекомендовано для споживання в свіжому вигляді, переробки.",Агресор F1,"Суперпопулярный в мире позднеспелый гибрид, с округло-плоским кочаном, короткой кочерыгой и хорошей внутренней структурой.  Масса кочанов 3-4 кг. Созревание через 115-120 дней после высадки рассады. Рекомендуется для потребления в свежем виде, переработки."
185,Амагер 611,p110185.jpg,120,121,p120185,20,15,1,гр,2026,3/15/2026,5/30/2026,amaher-611,,"late,round,firm,open_field","Сорт пізньостиглий, вологолюбний, стиглість настає через 120-125 днів після висадки розсади. Голови круглі і плоскі, дуже щільні, не тріскаються.Вага 2,2-3,6-8,5кг з кв/м. Посів насіння на розсаду проводять з 10 квітня, за 40-45 днів до висадки у відкритий грунт.",Амагер 611,"Сорт позднеспелый, влаголюбивый. Спелость наступает через 120-125 дней после высадки рассады. Кочаны округло-плоские, очень плотные, не растрескиваются. Масса 2,2-3, 6-8,5 з кв/ м кг. Посев семян на рссаду проводят с 10 апреля, за 40-45 дней до высадки в открытый грунт."
186,Амагер 611,p110186.jpg,120,121,p120186,20,12,1.5,гр,2026,3/16/2026,5/31/2026,amaher-611,,"late,round,firm,open_field","Сорт пізньостиглий, вологолюбний, стиглість настає через 120-125 днів після висадки розсади. Голови круглі і плоскі, дуже щільні, не тріскаються. Вага 2 - 6 кг. Посів насіння на розсаду проводять з 10 квітня, за 40-45 днів до висадки у відкритий грунт.",Амагер 611,"Сорт позднеспелый, влаголюбивый. Спелость наступает через 120-125 дней после высадки рассады. Кочаны округло-плоские, очень плотные, не растрескиваются. Масса 2-6 кг. Посев семян на рассаду проводят с 10 апреля, за 40-45 дней до высадки в открытый грунт."
187,Дітмаршер Фрюєр,p110187.jpg,120,121,p120187,40,10,1,гр,2026,3/17/2026,6/1/2026,ditmarsher-friuier,,"early_maturing,round","Раннє дозрівання, голови дозрівають через 60-65 днів після висадки розсади. Рослина низька, голова округла, масою від 0,9 до 2,4 кг, розетка листя невелика, світло-зелена, восковий наліт слабкий. Їх висівають на розсаду з середини березня.",Дитмаршер фрюер,"Раннеспелая, кочаны созревают через 60-65 дней после посадки рассады. Растение невысокое, кочан округлый, массой от 0, 9 до 2, 4 кг, розетка листьев мелкая, светло-зеленого цвета, восковый налет слабый. Высевают на рассаду с середины марта."
188,Зимова 1474,p110188.jpg,120,121,p120188,30,10,1,гр,2026,3/18/2026,6/2/2026,zymivlia-tysiachi-chotyresta-simdesiat-chotyry,,"late,round,firm,keeping,transportable","Сорт пізньостиглий (від розсади до технічної стиглості 130-150 днів). Качани круглоплоскі, дуже щільні, вагою 2- 6 кг. Транспортопридатність висока. Має високу здатність до відпочинку.",Зимовка 1474,"Сорт позднеспелый (от всходов до технической спелости 130-150 дней). Кочаны округло-плоские, очень плотные, массой 2, 0-3, 6 кг. Транспортабельность высокая. Отличается высокой лежкостю."
189,Золотий гектар,p110189.jpg,120,121,p120189,50,10,1,гр,2026,3/19/2026,6/3/2026,zolotyi-hektar,,"fresh,round,firm","Сортування рано - від повних саджанців до початку технічної стиглості голови голови 90 днів. Розроблений для свіжого споживання. Голова голови закруглений, з випиранням вгору, діаметром 19-24 см, вагою 1, 5-3, 5 кг, середньо-щільно, на секції білого",Золотой гектар,"Сорт скороспелый, от полных всходов до начала технической спелости кочанов 90 дней. Предназначен для потребления в свежем виде. Кочан округлый, с выпуклостью кверху, диаметром 19-24 см, массой 1, 5-3, 5 кг, среднеплотный, на разрезе белый"
190,Золотий гектар,p110190.jpg,120,121,p120190,,15,1,гр,2026,3/20/2026,6/4/2026,zolotyi-hektar,,"fresh,round,firm","Сортування рано - від повних саджанців до початку технічної стиглості голови 90 днів. Розроблений для свіжого споживання. закруглена, випинаючись вгору, діаметром 19-24 см, вагою 1,5-3,5 кг, середньою щільністю, в розрізі біла.",Золотой гектар,"Сорт скороспелый, от полных всходов до начала технической спелости кочанов 90 дней. Предназначен для потребления в свежем виде. Кочан округлый, с выпуклостью кверху, диаметром 19-24 см, массой 1,5-3,5 кг, среднеплотный, на разрезе белый."
191,Червнева,p110191.jpg,120,121,p120191,40,12,1.5,гр,2026,3/21/2026,6/5/2026,chervneva,,"early,compact,uniform_ripening","Сорт ранній, дружньо утворює головки, які можуть бути видалені через 62-67 днів після висадки розсади. Основний урожай дається на перші два врожаї. Рослина невелика, компактна",Июньская,"Сорт ранний. Дружно формирует кочаны, которые можно убирать через 62-67 дней после высадки рассады. Основной урожай отдает за первые два сбора. Растение небольшое, компактное"
192,Кам'яна голова,p110192.jpg,120,121,p120192,20,15,1,гр,2026,3/22/2026,6/6/2026,kam-iana-holova,,"late,round,keeping","Сорт пізньостиглий, вегетаційний період 130-160 днів. Голови великі, вагою 3-4 кг, тверді, круглі, винятково смачні. Один з кращих сортів для бродіння.Лежкість під час зимового зберігання хороша.",Каменная голова,"Сорт позднеспелый, вегетационный период 130-160 дней. Кочаны большие, массой 3-4 кг, твердые, круглые, исключительно вкусные. Один из лучших сортов для квашения. Лежкость во время зимнего хранения хорошая."
193,Кам'яна голова,p110193.jpg,120,121,p120193,20,18,5,гр,2026,3/23/2026,6/7/2026,kam-iana-holova,,"late,round,keeping","Сорт пізньостиглий, вегетаційний період 130-160 днів. Голови великі, вагою 3-4 кг, тверді, круглі, винятково смачні. Один з кращих сортів для бродіння Лежкость під час зимового зберігання хороша.",Каменная голова,"Сорт позднеспелый, вегетационный период 130-160 дней. Кочаны большие, массой 3-4 кг, твердые, круглые, исключительно вкусные. Один из лучших сортов для квашения. Лежкость во время зимнего хранения хорошая."
194,Козачок F1,p110194.jpg,120,121,p120194,20,15,1,гр,2026,3/24/2026,6/8/2026,kozachok-f1,,round,"Скоростиглий гібрид, від пересадки до збору врожаю – 52-57 днів. Качан округлий, блідо-зелений, в розрізі – білий, висотою 15см.-17,см, масою 1, 2-1, 7 кг. Значення гібриду полягає в значному вирівнюванні качанів.",Казачок F1,"Скороспелый гибрид, от высадки рассады до сбора – 52-57 дней. Кочан округлый, бледно-зеленый, в разрезе – белый, высотой 15, 5-17, 5см, массой 1, 2-1, з одного кв/и 7кг. Ценность гибрида в значительной выравненности кочанов."
195,КолобокF1,p110195.jpg,120,121,p120195,40,10,1,гр,2026,3/25/2026,6/9/2026,kolobokf1,,"late,fresh","Пізньостиглий гібрид, технічна стиглість настає через 150 днів після повноцінних пагонів. Призначений для споживання в свіжому вигляді, тушкування, бродіння та тривалого зберігання.",КолобокF1,"Позднеспелый гибрид, техническая спелость наступает на 150 день после полных всходов. Предназначен для потребления в свежем виде, тушения, квашения и длительного хранения."
196,Тюркіз F1,,120,121,p120196,,10,1,гр,2026,3/26/2026,6/10/2026,f1,,"late,fresh","Пізньостиглий гібрид, технічна стиглість настає через 150 днів після повноцінних пагонів. Призначений для споживання в свіжому вигляді, тушкування, бродіння та тривалого зберігання.",Тюркіз F1,"Позднеспелый гибрид, техническая спелость наступает на 150 день после полных всходов. Предназначен для потребления в свежем виде, тушения, квашения и длительного хранения."
197,Княгиня,p110197.jpg,120,121,p120197,50,10,1,гр,2026,3/27/2026,6/11/2026,kniahynia,,"late,firm,keeping,uniform_ripening","Пізньостиглий, лежкий(до літа наступного року) сорт з високою врожайністю товарних коренеплодів. Вегетаційний період 165-170 днів. Він дружно утворює дуже щільні голівки вагою 2,5 кг.",Княгиня,"Позднеспелый, лежкий (до лета следующего года) сорт с высоким выходом товарных корнеплодов. Вегетационный период 165-170 дней. Дружно формирует очень плотные кочаны массой 2, 5 кг."
198,Лангедейкер,p110198.jpg,120,121,p120198,50,10,1.5,гр,2026,3/28/2026,6/12/2026,lanhedeiker,,"late,fresh,round,oval,firm","Сорт пізньостиглий, період вегетації 115-125 днів. Качани округлі і короткоовальні, зеленувато-білого кольору, щільні, не тріскаються. Вага: 1,9-4 кг. Урожайність: 12 кг/кв. м. Використовується в свіжому вигляді та для бродіння.",Лангедейкер,"Сорт позднеспелый, вегетационный период 115-125 дней. Кочаны округлые и короткоовальные, зеленовато-белой окраски, плотные, не растрескиваются. Масса 1, 9-4 кг. Урожайность 12 кг/кв. м. Используют в свежем виде и для квашения."
199,Лангедейкер,p110199.jpg,120,121,p120199,20,15,1,гр,2026,3/29/2026,6/13/2026,lanhedeiker,,"late,fresh,round,oval,firm","Сорт пізньостиглий, період вегетації 115-125 днів. Качани округлі і короткоовальні, зеленувато-білого кольору, щільні, не тріскаються. Вага: 1,9-4 кг. Урожайність: 12 кг/кв. м. Використовується в свіжому вигляді та для бродіння.",Лангедейкер,"Сорт позднеспелый, вегетационный период 115-125 дней. Кочаны округлые и короткоовальные, зеленовато-белой окраски, плотные, не растрескиваются. Масса 1, 9-4 кг. Урожайность 12 кг/кв. м. Используют в свежем виде и для квашения."
200,Слава1305,p110200.jpg,120,121,p120200,30,10,1.5,гр,2026,3/30/2026,6/14/2026,slava1305,,"mid_maturing,fresh,round,firm","Середньостиглі. Дозріває через 80-90 днів після висадки розсади. Голови круглі, великі, вагою 2, 4-4, 5 кг, щільні. Один з найбільш продуктивних сортів. Головки зберігаються до початку січня, рекомендовані для бродіння та свіжого використання",Слава1305,"Среднеспелая. Созревает через 80-90 дней после высадки рассады. Кочаны округлые, крупные, массой 2, 4-4, 5кг, плотные. Один из наиболее урожайных сортов. Кочаны сохраняются до начала января, рекомендуются для квашения и использования в свежем виде"
201,ПарелF1,p120201.jpg,120,121,p120201,20,18,1,гр,2026,3/31/2026,6/15/2026,parelf1,,"early,fresh,round,firm,open_field","Супергібрид для свіжого використання. Голова щільна, округла з короткою головою, масою 1 кг. Високі комерційні властивості, рекомендована для раннього вирощування під плівкою та у відкритому грунті.",ПарелF1,"Сверхранний гибрид для использования в свежем виде. Головка плотная, округлая с коротким кочаном, весом 1 кг. Высокие товарные свойства, рекомендуется для раннего выращивания под пленкой и в открытом грунте."
202,Перший урожай,p120202.jpg,120,121,p120202,20,18,1,гр,2026,4/1/2026,6/16/2026,pershyi-urozhai,,"juice,round,juicy,firm,disease_resistant","Звертання, вегетаційний період становить 60 днів. Качан круглий, щільний, масою 2,200 - 3 кг, соковитий, ніжний на смак. Сорт стійкий до розтріскування та хвороб. Він добре зберігається і не гниє. Їх висівають на розсаду з середини березня.",Первый урожай,"Сверхранняя, период вегетации 60 дней. Кочан округлый, плотный, массой 2,200, 3 кг, сочный, вкус нежный. Сорт устойчив против растрескивания и болезней. Хорошо хранится, не гниет. Высевают на рассаду с середины марта."
203,Тюркіз,p120203.jpg,120,121,p120203,20,10,3,гр,2026,4/2/2026,6/17/2026,tiurkiz,,"late,round,firm","Сорт пізньостиглий, стиглість настає через 115-125 днів після висадки розсади. Головки округлі та круглоплоскі, середнього розміру, масою 1,5 кг-2,5 кг, дуже щільні, без схильності до розтріскування.",Тюркиз,"Сорт позднеспелый, спелость наступает на 115-125 дней после высадки рассады. Кочаны округлые и округло-плоские, средней величины, массой 1, 5 кг-2, 5 кг, очень плотные, склонности к растрескиванию нет."
204,Українська осінь,p120204.jpg,120,121,p120204,50,10,3,гр,2026,4/3/2026,6/18/2026,ukrainska-osin,,"late,fresh,round,flat_round,firm","Сорт піній. Від посадки в грунт до економічної стиглості проходить 118-125 днів. Голова щільна, плоскоокруглена, світло-зелена, масою 1, 9-4, 2 кг. Врожайність висока до 12 кг/кв. м. Використовується для споживання свіжого та бродіння",Украинская осень,"Сорт поздний. От посадки в грунт до хозяйственной спелости проходит 118-125 дней. Головка тугая, плоскоокруглая, светло-зеленая, весом 1, 9-4, 2 кг. Урожайность высокая до 12 кг/м кв. Используется для потребления в свежем виде и квашения"
205,Українська осінь,p120205.jpg,120,121,p120205,0,10,3,гр,2026,4/4/2026,6/19/2026,ukrainska-osin,,"late,fresh,round,flat_round,firm","Сорт пізній. Від посадки в грунт до економічної стиглості проходить 118-125 днів. Голова щільна, плоскоокруглена, світло-зелена, масою 1, 9-4, 2 кг. Врожайність висока до 12 кг/кв. м. Використовується для споживання свіжого та бродіння.",Украинская осень,"Сорт поздний. От посадки в грунт до хозяйственной спелости проходит 118-125 дней. Головка тугая, плоскоокруглая, светло-зеленая, весом 1, 9-4, 2 кг. Урожайность высокая до 12 кг/м кв. Используется для потребления в свежем виде и квашения."
206,Харківська зимова,p120206.jpg,120,121,p120206,50,10,1,гр,2026,4/5/2026,6/20/2026,kharkivska-zymova,,"late,round,firm","Сорт пізньостиглий, дозрівання головок відбувається через 122-135 днів після висадки розсади. Голови круглоплоскі та плоскоопуклі, зеленувато-білі, щільні, не тріскаються, маса 1, 5 кг.",Харьковская зимняя,"Сорт позднеспелый. Созревание кочанов наступает через 122-135 дней после высадки рассады. Кочаны округло-плоские и плосковыпуклые, зеленовато-белые, плотные не растрескиваются, масса 1, 5 кг."
207,Літня Альфа,p120207.jpg,120,122,p120207,20,10,3,гр,2026,4/6/2026,6/21/2026,litnia-alfa,,"early_maturing,red,round","Дуже ранньостиглий сорт, від проростання до збору врожаю 85-95 днів.  Голова кругла, біла, з круглою бугристою поверхнею. Смакові якості відмінні, для ранніх врожаїв насіння висівають на розсаду в березні.",Летняя Альфа,"Очень скороспелый сорт, від сходів до збору 85-95 днів.  Головка округло-плоская, белая, с округло-бугристой поверхностью. Вкусовые качества прекрасные. Для получения ранних урожаев семена высевают на рассаду в марте."
